CVE_ID;Year;CVSS_Score;Severity;Attack_Vector;Attack_Complexity;Privileges_Required;User_Interaction;Confidentiality_Impact;Integrity_Impact;Availability_Impact;Automatable
CVE-2023-0055;2023;3.1;LOW;NETWORK;HIGH;NONE;REQUIRED;LOW;NONE;NONE;no
CVE-2023-0056;2023;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0057;2023;3.1;LOW;NETWORK;HIGH;NONE;REQUIRED;NONE;LOW;NONE;no
CVE-2023-0058;2023;;;;;;;;;;
CVE-2023-0059;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0060;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0061;2023;6.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0062;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0063;2023;;;;;;;;;;no
CVE-2023-0064;2023;;;;;;;;;;no
CVE-2023-0065;2023;;;;;;;;;;no
CVE-2023-0066;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0067;2023;;;;;;;;;;no
CVE-2023-0068;2023;;;;;;;;;;no
CVE-2023-0069;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0070;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0071;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0072;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0073;2023;;;;;;;;;;no
CVE-2023-0074;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0075;2023;6.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0076;2023;;;;;;;;;;
CVE-2023-0077;2023;6.5;MEDIUM;NETWORK;LOW;NONE;NONE;NONE;LOW;LOW;yes
CVE-2023-0078;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0079;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0080;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0081;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0082;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0083;2023;4.0;MEDIUM;LOCAL;LOW;NONE;NONE;LOW;NONE;NONE;no
CVE-2023-0084;2023;7.2;HIGH;;;;;;;;yes
CVE-2023-0085;2023;5.3;MEDIUM;;;;;;;;yes
CVE-2023-0086;2023;5.4;MEDIUM;;;;;;;;no
CVE-2023-0087;2023;5.5;MEDIUM;;;;;;;;no
CVE-2023-0088;2023;8.8;HIGH;;;;;;;;no
CVE-2023-0089;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0090;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0091;2023;3.8;LOW;NETWORK;LOW;HIGH;NONE;LOW;LOW;NONE;no
CVE-2023-0092;2023;4.9;MEDIUM;NETWORK;LOW;HIGH;NONE;HIGH;NONE;NONE;no
CVE-2023-0093;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0094;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0095;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0096;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0097;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0098;2023;7.7;HIGH;NETWORK;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0099;2023;;;;;;;;;;no
CVE-2023-0100;2023;;;;;;;;;;no
CVE-2023-0101;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0102;2023;9.1;CRITICAL;NETWORK;LOW;NONE;NONE;NONE;HIGH;HIGH;yes
CVE-2023-0103;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0104;2023;9.3;CRITICAL;NETWORK;LOW;NONE;REQUIRED;HIGH;NONE;HIGH;no
CVE-2023-0105;2023;6.5;MEDIUM;NETWORK;LOW;NONE;NONE;NONE;LOW;LOW;yes
CVE-2023-0106;2023;9.0;CRITICAL;NETWORK;LOW;LOW;REQUIRED;HIGH;HIGH;HIGH;yes
CVE-2023-0107;2023;6.5;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;LOW;yes
CVE-2023-0108;2023;7.1;HIGH;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;LOW;yes
CVE-2023-0109;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0110;2023;7.1;HIGH;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;LOW;yes
CVE-2023-0111;2023;5.4;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;yes
CVE-2023-0112;2023;7.6;HIGH;NETWORK;LOW;LOW;NONE;LOW;LOW;HIGH;yes
CVE-2023-0113;2023;5.3;MEDIUM;;;;;;;;
CVE-2023-0114;2023;3.3;LOW;;;;;;;;
CVE-2023-0116;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0117;2023;5.3;MEDIUM;NETWORK;LOW;NONE;NONE;NONE;NONE;LOW;yes
CVE-2023-0118;2023;9.1;CRITICAL;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0119;2023;5.4;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;LOW;NONE;no
CVE-2023-0120;2023;3.5;LOW;NETWORK;LOW;LOW;REQUIRED;NONE;LOW;NONE;no
CVE-2023-0121;2023;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0122;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0123;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0124;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0125;2023;2.4;LOW;;;;;;;;
CVE-2023-0126;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;no
CVE-2023-0127;2023;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0128;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0129;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0130;2023;6.5;MEDIUM;NETWORK;LOW;NONE;REQUIRED;NONE;HIGH;NONE;no
CVE-2023-0131;2023;6.5;MEDIUM;NETWORK;LOW;NONE;REQUIRED;HIGH;NONE;NONE;no
CVE-2023-0132;2023;6.5;MEDIUM;NETWORK;LOW;NONE;REQUIRED;NONE;HIGH;NONE;no
CVE-2023-0133;2023;6.5;MEDIUM;NETWORK;LOW;NONE;REQUIRED;NONE;HIGH;NONE;no
CVE-2023-0134;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0135;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0136;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0137;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0138;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0139;2023;;;;;;;;;;
CVE-2023-0140;2023;;;;;;;;;;
CVE-2023-0141;2023;4.3;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;NONE;NONE;no
CVE-2023-0142;2023;6.5;MEDIUM;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;NONE;no
CVE-2023-0143;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0144;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0145;2023;;;;;;;;;;no
CVE-2023-0146;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0147;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0148;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0149;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0150;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0151;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0152;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0153;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0154;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0155;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;NONE;LOW;LOW;no
CVE-2023-0156;2023;4.9;MEDIUM;NETWORK;LOW;HIGH;NONE;HIGH;NONE;NONE;no
CVE-2023-0157;2023;4.8;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0158;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0159;2023;;;;;;;;;;
CVE-2023-0160;2023;4.7;MEDIUM;LOCAL;HIGH;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0162;2023;5.5;MEDIUM;;;;;;;;no
CVE-2023-0163;2023;8.4;HIGH;LOCAL;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0164;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0165;2023;;;;;;;;;;no
CVE-2023-0166;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0167;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0168;2023;5.4;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0169;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0170;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0171;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0172;2023;;;;;;;;;;no
CVE-2023-0173;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0174;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0175;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0176;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0177;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0178;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0179;2023;;;;;;;;;;no
CVE-2023-0180;2023;7.1;HIGH;LOCAL;LOW;LOW;NONE;HIGH;NONE;HIGH;no
CVE-2023-0181;2023;7.1;HIGH;LOCAL;LOW;LOW;NONE;NONE;HIGH;HIGH;no
CVE-2023-0182;2023;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0183;2023;7.1;HIGH;LOCAL;LOW;LOW;NONE;NONE;HIGH;HIGH;no
CVE-2023-0184;2023;8.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0185;2023;6.7;MEDIUM;LOCAL;HIGH;HIGH;NONE;LOW;LOW;HIGH;no
CVE-2023-0186;2023;6.1;MEDIUM;LOCAL;LOW;LOW;NONE;NONE;LOW;HIGH;no
CVE-2023-0187;2023;6.1;MEDIUM;LOCAL;LOW;LOW;NONE;LOW;NONE;HIGH;no
CVE-2023-0188;2023;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0189;2023;8.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0190;2023;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0191;2023;7.1;HIGH;LOCAL;LOW;LOW;NONE;NONE;HIGH;HIGH;no
CVE-2023-0192;2023;4.7;MEDIUM;LOCAL;HIGH;HIGH;NONE;HIGH;NONE;LOW;no
CVE-2023-0193;2023;4.4;MEDIUM;LOCAL;LOW;NONE;REQUIRED;LOW;NONE;LOW;no
CVE-2023-0194;2023;2.0;LOW;PHYSICAL;HIGH;NONE;NONE;NONE;NONE;LOW;no
CVE-2023-0195;2023;2.0;LOW;PHYSICAL;HIGH;NONE;NONE;NONE;NONE;LOW;no
CVE-2023-0196;2023;3.3;LOW;LOCAL;LOW;NONE;REQUIRED;NONE;NONE;LOW;no
CVE-2023-0197;2023;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0198;2023;6.6;MEDIUM;LOCAL;LOW;LOW;NONE;LOW;LOW;HIGH;no
CVE-2023-0199;2023;6.1;MEDIUM;LOCAL;LOW;LOW;NONE;NONE;LOW;HIGH;no
CVE-2023-0200;2023;7.5;HIGH;LOCAL;HIGH;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0201;2023;6.7;MEDIUM;LOCAL;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0202;2023;7.5;HIGH;LOCAL;HIGH;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0203;2023;5.0;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;NONE;LOW;no
CVE-2023-0204;2023;6.5;MEDIUM;LOCAL;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0205;2023;5.0;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;NONE;LOW;no
CVE-2023-0206;2023;7.5;HIGH;LOCAL;HIGH;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0207;2023;7.5;HIGH;LOCAL;HIGH;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0208;2023;8.4;HIGH;LOCAL;LOW;LOW;NONE;NONE;HIGH;HIGH;no
CVE-2023-0209;2023;8.2;HIGH;LOCAL;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0210;2023;;;;;;;;;;yes
CVE-2023-0212;2023;;;;;;;;;;no
CVE-2023-0213;2023;8.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0214;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0215;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0216;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0217;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0219;2023;;;;;;;;;;no
CVE-2023-0220;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0221;2023;4.4;MEDIUM;LOCAL;LOW;HIGH;NONE;NONE;NONE;HIGH;no
CVE-2023-0223;2023;5.3;MEDIUM;NETWORK;LOW;NONE;NONE;LOW;NONE;NONE;no
CVE-2023-0224;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0225;2023;4.3;MEDIUM;NETWORK;LOW;LOW;NONE;NONE;LOW;NONE;no
CVE-2023-0227;2023;8.3;HIGH;NETWORK;LOW;LOW;NONE;LOW;HIGH;HIGH;no
CVE-2023-0228;2023;8.8;HIGH;ADJACENT_NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0229;2023;6.3;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;LOW;LOW;no
CVE-2023-0230;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0231;2023;;;;;;;;;;no
CVE-2023-0232;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0233;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0234;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0236;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0238;2023;3.9;LOW;LOCAL;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0240;2023;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0241;2023;;;;;;;;;;no
CVE-2023-0242;2023;8.8;HIGH;NETWORK;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0243;2023;6.3;MEDIUM;;;;;;;;no
CVE-2023-0244;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0245;2023;6.3;MEDIUM;;;;;;;;
CVE-2023-0246;2023;3.5;LOW;;;;;;;;no
CVE-2023-0247;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0248;2023;7.5;HIGH;ADJACENT_NETWORK;HIGH;NONE;NONE;LOW;HIGH;LOW;no
CVE-2023-0249;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0250;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0251;2023;7.8;HIGH;LOCAL;LOW;NONE;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0252;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0254;2023;7.2;HIGH;;;;;;;;no
CVE-2023-0255;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0256;2023;6.3;MEDIUM;;;;;;;;no
CVE-2023-0257;2023;4.7;MEDIUM;;;;;;;;
CVE-2023-0258;2023;2.4;LOW;;;;;;;;
CVE-2023-0259;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0260;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0261;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0262;2023;7.7;HIGH;NETWORK;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0263;2023;;;;;;;;;;no
CVE-2023-0264;2023;;;;;;;;;;
CVE-2023-0265;2023;8.8;HIGH;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0266;2023;7.9;HIGH;ADJACENT_NETWORK;HIGH;LOW;NONE;LOW;HIGH;HIGH;no
CVE-2023-0267;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0268;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0270;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0271;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0272;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0273;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0274;2023;;;;;;;;;;no
CVE-2023-0275;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0276;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
